,Token,Frequency_2016,Frequency_2018,StandardDeviation,Mean,MeanMinusStdev
326,Shares,0.0,0.0014284923872421545,0.0007142461936210773,0.0007142461936210773,0.0
307,Q4,0.0,0.003596380481965284,0.001798190240982642,0.001798190240982642,0.0
306,Share,0.0,0.003646679509685078,0.001823339754842539,0.001823339754842539,0.0
305,Mln,0.0,0.0038126663011603984,0.0019063331505801992,0.0019063331505801992,0.0
304,Profit,0.0,0.0040088325092675955,0.0020044162546337977,0.0020044162546337977,0.0
303,Says,0.0,0.004325716383902299,0.0021628581919511496,0.0021628581919511496,0.0
302,2017,0.0,0.00569887984065268,0.00284943992032634,0.00284943992032634,0.0
315,Million,0.0,0.002087409650371458,0.001043704825185729,0.001043704825185729,0.0
316,With,0.0,0.0019968714004758286,0.0009984357002379143,0.0009984357002379143,0.0
439,lower,0.0,0.0004275417356182505,0.00021377086780912524,0.00021377086780912524,0.0
317,As,0.0,0.0019968714004758286,0.0009984357002379143,0.0009984357002379143,0.0
318,Y,0.0,0.0018862135394922817,0.0009431067697461408,0.0009431067697461408,0.0
319,Up,0.0,0.001830884609000508,0.000915442304500254,0.000915442304500254,0.0
320,At,0.0,0.001745376261876858,0.000872688130938429,0.000872688130938429,0.0
321,Dec,0.0,0.0017302865535609197,0.0008651432767804598,0.0008651432767804598,0.0
322,Loss,0.0,0.0016699277202971666,0.0008349638601485833,0.0008349638601485833,0.0
438,Estate,0.0,0.0004325716383902299,0.00021628581919511496,0.00021628581919511496,0.0
323,Earnings,0.0,0.0016648978175251873,0.0008324489087625937,0.0008324489087625937,0.0
437,Tech,0.0,0.0004325716383902299,0.00021628581919511496,0.00021628581919511496,0.0
436,earnings,0.0,0.0004325716383902299,0.00021628581919511496,0.00021628581919511496,0.0
435,sanctions,0.0,0.0004325716383902299,0.00021628581919511496,0.00021628581919511496,0.0
434,Senior,0.0,0.0004325716383902299,0.00021628581919511496,0.00021628581919511496,0.0
324,Pct,0.0,0.001614598789805393,0.0008072993949026965,0.0008072993949026965,0.0
325,On,0.0,0.0015944791787174755,0.0007972395893587377,0.0007972395893587377,0.0
419,Contract,0.0,0.0004627510550221064,0.0002313755275110532,0.0002313755275110532,0.0
348,yields,0.0,0.0008651432767804598,0.0004325716383902299,0.0004325716383902299,0.0
418,cut,0.0,0.00046778095779408585,0.00023389047889704292,0.00023389047889704292,0.0
398,100,0.0,0.0005130500827419006,0.0002565250413709503,0.0002565250413709503,0.0
376,Management,0.0,0.0005935285270935713,0.00029676426354678567,0.00029676426354678567,0.0
396,GAAP,0.0,0.0005281397910578389,0.00026406989552891943,0.00026406989552891943,0.0
375,Syria,0.0,0.0005935285270935713,0.00029676426354678567,0.00029676426354678567,0.0
397,Rise,0.0,0.00051807998551388,0.00025903999275694,0.00025903999275694,0.0
374,falls,0.0,0.0005985584298655507,0.00029927921493277536,0.00029927921493277536,0.0
373,Business,0.0,0.0005985584298655507,0.00029927921493277536,0.00029927921493277536,0.0
399,demand,0.0,0.0005029902771979417,0.00025149513859897086,0.00025149513859897086,0.0
378,Asia,0.0,0.0005884986243215918,0.0002942493121607959,0.0002942493121607959,0.0
400,Income,0.0,0.0005029902771979417,0.00025149513859897086,0.00025149513859897086,0.0
401,EUR,0.0,0.0005029902771979417,0.00025149513859897086,0.00025149513859897086,0.0
402,Trading,0.0,0.0005029902771979417,0.00025149513859897086,0.00025149513859897086,0.0
403,dollar,0.0,0.0005029902771979417,0.00025149513859897086,0.00025149513859897086,0.0
404,tech,0.0,0.0004979603744259623,0.00024898018721298117,0.00024898018721298117,0.0
405,First,0.0,0.0004979603744259623,0.00024898018721298117,0.00024898018721298117,0.0
377,About,0.0,0.0005884986243215918,0.0002942493121607959,0.0002942493121607959,0.0
379,Stock,0.0,0.0005834687215496124,0.0002917343607748062,0.0002917343607748062,0.0
349,Yuan,0.0,0.0008500535684645216,0.0004250267842322608,0.0004250267842322608,0.0
392,Development,0.0,0.0005432294993737771,0.00027161474968688857,0.00027161474968688857,0.0
389,Year,0.0,0.0005432294993737771,0.00027161474968688857,0.00027161474968688857,0.0
388,Inc,0.0,0.0005532893049177359,0.00027664465245886796,0.00027664465245886796,0.0
387,government,0.0,0.0005532893049177359,0.00027664465245886796,0.00027664465245886796,0.0
386,Feb,0.0,0.0005532893049177359,0.00027664465245886796,0.00027664465245886796,0.0
385,Notes,0.0,0.0005583192076897154,0.0002791596038448577,0.0002791596038448577,0.0
384,S,0.0,0.0005583192076897154,0.0002791596038448577,0.0002791596038448577,0.0
393,Apple,0.0,0.0005432294993737771,0.00027161474968688857,0.00027161474968688857,0.0
380,Shanghai,0.0,0.0005834687215496124,0.0002917343607748062,0.0002917343607748062,0.0
394,Street,0.0,0.0005381995966017976,0.0002690997983008988,0.0002690997983008988,0.0
383,Falls,0.0,0.0005734089160056536,0.0002867044580028268,0.0002867044580028268,0.0
395,opposition,0.0,0.0005281397910578389,0.00026406989552891943,0.00026406989552891943,0.0
300,To,0.0,0.00932543973924984,0.00466271986962492,0.00466271986962492,0.0
382,Down,0.0,0.0005784388187776331,0.00028921940938881653,0.00028921940938881653,0.0
381,31,0.0,0.0005784388187776331,0.00028921940938881653,0.00028921940938881653,0.0
372,Q3,0.0,0.0006237079437254478,0.0003118539718627239,0.0003118539718627239,0.0
371,Issue,0.0,0.0006237079437254478,0.0003118539718627239,0.0003118539718627239,0.0
406,Super,0.0,0.0004979603744259623,0.00024898018721298117,0.00024898018721298117,0.0
353,Euros,0.0,0.0007896947352007686,0.0003948473676003843,0.0003948473676003843,0.0
411,inflation,0.0,0.0004828706661100241,0.00024143533305501206,0.00024143533305501206,0.0
356,By,0.0,0.0007494555130249332,0.0003747277565124666,0.0003747277565124666,0.0
355,International,0.0,0.0007645452213408715,0.00038227261067043573,0.00038227261067043573,0.0
412,data,0.0,0.0004778407633380447,0.00023892038166902234,0.00023892038166902234,0.0
413,Securities,0.0,0.0004778407633380447,0.00023892038166902234,0.00023892038166902234,0.0
354,Offering,0.0,0.0007746050268848303,0.00038730251344241517,0.00038730251344241517,0.0
414,Africa,0.0,0.0004778407633380447,0.00023892038166902234,0.00023892038166902234,0.0
370,report,0.0,0.0006237079437254478,0.0003118539718627239,0.0003118539718627239,0.0
352,Signs,0.0,0.0008098143462886863,0.00040490717314434313,0.00040490717314434313,0.0
415,Acquire,0.0,0.0004778407633380447,0.00023892038166902234,0.00023892038166902234,0.0
