,Token,MeanMinusStdev_HIGH,MeanMinusStdev_LOW,Difference,Ratio
22,from,0.0019516022755280138,0.002183893526204778,-0.000232291250676764,0.8936343517257248
14,with,0.0032241676768388064,0.003625869926999679,-0.0004017022501608728,0.889212173009948
81,dividend,0.0006438275548133654,0.0007257823101739346,-8.19547553605692e-05,0.8870808034148302
112,business,0.0005432294993737771,0.0006136816365301029,-7.045213715632572e-05,0.8851975797179165
21,mln,0.0021628581919511496,0.0024503539473656067,-0.00028749575541445714,0.8826717439235479
140,bonds,0.0004929304716539829,0.0005592979933883761,-6.636752173439311e-05,0.8813378154062005
102,4,0.0005694017722630162,0.000647674525149596,-7.827275288657979e-05,0.879148013628449
148,police,0.00044766134670616825,0.0005095797574295712,-6.191841072340299e-05,0.8784912276819381
77,high,0.0006890966797611802,0.0007848522101587522,-9.5755530397572e-05,0.8779954631481467
0,BRIEF,0.02912252814386885,0.03321565418216188,-0.004093126038293031,0.87677117494524
17,pct,0.0023487823105849412,0.0026883612236401613,-0.0003395789130552201,0.8736855337485433
47,oil,0.0009908908460799452,0.0011607809700888707,-0.00016989012400892554,0.8536415323935587
5,for,0.0070116844641393075,0.008320936380855862,-0.0013092519167165542,0.8426556992156826
124,but,0.0005219516245744314,0.0006205903470271324,-9.863872245270092e-05,0.8410566278943613
108,000,0.00055753923534087,0.0006632394359715479,-0.00010570020063067789,0.8406304044996319
50,not,0.0009053824989562953,0.0010856403205259878,-0.00018025782156969256,0.8339617475865686
25,by,0.0015793894704015372,0.0018946487308971304,-0.0003152592604955932,0.8336054302021908
70,be,0.0007645452213408714,0.0009243363865424022,-0.0001597911652015309,0.8271287731090518
74,US,0.0007243059991650361,0.000877273018271063,-0.00015296701910602682,0.8256335075624514
131,court,0.0005029902771979417,0.0006182882359176967,-0.00011529795871975494,0.8135206979174955
132,record,0.0005029902771979417,0.0006223551231876839,-0.00011936484598974219,0.8082046061124087
4,of,0.007489525227477354,0.009279443195588395,-0.0017899179681110404,0.8071093350771307
10,says,0.004969543938715666,0.006166776434055672,-0.0011972324953400063,0.8058576457015114
109,Canada,0.0005532893049177359,0.0006877014625893207,-0.00013441215767158476,0.8045486813922155
87,rise,0.000628714456873747,0.0007845539642999495,-0.00015583950742620247,0.8013654706782896
15,at,0.002605489635885338,0.003254368532220608,-0.0006488788963352698,0.8006129638020715
135,prices,0.0004982265507301391,0.0006289461362400983,-0.00013071958550995926,0.7921609212969909
122,plans,0.0005231098882858595,0.0006680575474460626,-0.00014494765916020307,0.7830311779062629
142,back,0.00048636401380799303,0.0006287570541512453,-0.00014239304034325227,0.7735324965292555
156,about,0.00042251183284627115,0.0005473982614196876,-0.00012488642857341644,0.7718545392352523
153,chief,0.0004376015411622093,0.000570425977353211,-0.0001328244361910017,0.7671486898136898
99,bank,0.0005734089160056536,0.0007509892151809443,-0.00017758029917529076,0.7635381499686326
111,Energy,0.0005456766984187238,0.000716544886841686,-0.00017086818842296215,0.7615387513598797
143,Australia,0.00048636401380799303,0.0006394286137485964,-0.00015306459994060334,0.760622848822365
19,and,0.002238306733530841,0.002949643098303893,-0.000711336364773052,0.7588398524614434
76,stake,0.0006991564853051391,0.0009601672620622458,-0.00026101077675710666,0.7281611370538628
134,tax,0.0004982265507301392,0.0007085197531761583,-0.0002102932024460191,0.703193592693337
93,million,0.0006035883326375301,0.0008715131939035837,-0.0002679248612660536,0.6925750945134924
41,Trump,0.0010913533968374477,0.001578463828152106,-0.00048711043131465827,0.6914022211805042
28,new,0.0013781933595223604,0.001994184652503898,-0.0006159912929815377,0.6911061910901285
129,billion,0.0005080201799699212,0.0007354959827601616,-0.0002274758027902404,0.6907178174698227
133,Capital,0.0004982265507301393,0.0007239123318725743,-0.00022568578114243502,0.6882415574291376
52,share,0.0008953226934123363,0.0013454490767314702,-0.00045012638331913394,0.6654452471641393
79,Holdings,0.0006643020676401854,0.0010068348046999788,-0.0003425327370597934,0.6597925146599766
150,plan,0.0004426314439341888,0.000671244864267715,-0.0002286134203335262,0.6594187419475771
110,10,0.0005456766984187238,0.0008326551575918427,-0.0002869784591731189,0.6553453652973201
45,Bank,0.0010083156383824245,0.001556933390702674,-0.0005486177523202494,0.6476292720058835
48,deal,0.0009255021100442128,0.0014796116505321564,-0.0005541095404879436,0.6255033945639366
82,net,0.0006405769937958931,0.001028901932176499,-0.00038832493838060586,0.622583138162489
38,Group,0.0011625286183703247,0.0019570963989406762,-0.0007945677805703516,0.5940068251106947
105,FY,0.0005575392353408702,0.0012584950136404968,-0.0007009557782996266,0.4430206153364526
86,profit,0.000628714456873747,0.0017349077390118699,-0.0011061932821381229,0.3623907155038897
363,per,0.0,0.0005662862948259673,-0.0005662862948259673,0.0
423,president,0.0,0.0004572138173228592,-0.0004572138173228592,0.0
392,wins,0.0,0.0005113920854683786,-0.0005113920854683786,0.0
412,euros,0.0,0.0001874648702788823,-0.0001874648702788823,0.0
375,take,0.0,-6.151852762761973e-05,6.151852762761973e-05,-0.0
394,company,0.0,0.00011511748726137906,-0.00011511748726137906,0.0
391,Factors,0.0,8.85704751395508e-05,-8.85704751395508e-05,0.0
395,loan,0.0,0.00010287194362474674,-0.00010287194362474674,0.0
388,Iran,0.0,0.00041500839957349486,-0.00041500839957349486,0.0
397,expects,0.0,0.0001051219873490484,-0.0001051219873490484,0.0
398,seeks,0.0,0.00010146455075751496,-0.00010146455075751496,0.0
382,price,0.0,0.00011396510568423523,-0.00011396510568423523,0.0
381,rights,0.0,-5.928272210811372e-05,5.928272210811372e-05,-0.0
380,acquisition,0.0,9.678093146556511e-05,-9.678093146556511e-05,0.0
376,France,0.0,0.0004957101512899129,-0.0004957101512899129,0.0
372,contract,0.0,0.00012155906863509,-0.00012155906863509,0.0
410,credit,0.0,9.897681319026604e-05,-9.897681319026604e-05,0.0
371,end,0.0,0.0006165686596939754,-0.0006165686596939754,0.0
369,rules,0.0,-6.165403099243831e-05,6.165403099243831e-05,-0.0
368,Rio,0.0,-8.059062622583002e-05,8.059062622583002e-05,-0.0
366,July,0.0,-7.320569284321936e-05,7.320569284321936e-05,-0.0
365,signs,0.0,0.000550502584259676,-0.000550502584259676,0.0
403,firms,0.0,-5.9740192877144805e-05,5.9740192877144805e-05,-0.0
404,PM,0.0,0.0005842526501384629,-0.0005842526501384629,0.0
405,investors,0.0,-6.433022244760456e-05,6.433022244760456e-05,-0.0
407,French,0.0,0.00047028463929798175,-0.00047028463929798175,0.0
393,offer,0.0,0.00012132407069965389,-0.00012132407069965389,0.0
409,state,0.0,0.00044687882306755736,-0.00044687882306755736,0.0
498,policy,0.0,-6.278757873663999e-05,6.278757873663999e-05,-0.0
426,Islamic,0.0,-7.22232934482848e-05,7.22232934482848e-05,-0.0
479,gains,0.0,-5.951985299654624e-05,5.951985299654624e-05,-0.0
499,senior,0.0,-6.296282317490014e-05,6.296282317490014e-05,-0.0
361,appoints,0.0,0.00014846612742423114,-0.00014846612742423114,0.0
497,energy,0.0,-6.226379613412172e-05,6.226379613412172e-05,-0.0
496,Turkish,0.0,-6.226379613412172e-05,6.226379613412172e-05,-0.0
495,common,0.0,-6.22618454218595e-05,6.22618454218595e-05,-0.0
494,7,0.0,-6.222992029291714e-05,6.222992029291714e-05,-0.0
493,HY,0.0,-6.19363914650906e-05,6.19363914650906e-05,-0.0
492,income,0.0,-6.188632162558775e-05,6.188632162558775e-05,-0.0
491,output,0.0,-6.165403099243831e-05,6.165403099243831e-05,-0.0
490,rally,0.0,-6.158627931002899e-05,6.158627931002899e-05,-0.0
489,Increase,0.0,-6.147179267068523e-05,6.147179267068523e-05,-0.0
488,executive,0.0,-6.136058831080721e-05,6.136058831080721e-05,-0.0
487,boost,0.0,-6.104426585075486e-05,6.104426585075486e-05,-0.0
486,Company,0.0,-6.095231273262308e-05,6.095231273262308e-05,-0.0
485,Technologies,0.0,-6.043283279456098e-05,6.043283279456098e-05,-0.0
484,Enters,0.0,-6.043283279456098e-05,6.043283279456098e-05,-0.0
483,Sept,0.0,-6.000870264422884e-05,6.000870264422884e-05,-0.0
482,rates,0.0,-5.992636309100187e-05,5.992636309100187e-05,-0.0
481,15,0.0,-5.991335285649883e-05,5.991335285649883e-05,-0.0
500,acquires,0.0,-6.3012893014403e-05,6.3012893014403e-05,-0.0
501,assets,0.0,-6.365270562351186e-05,6.365270562351186e-05,-0.0
502,annual,0.0,-6.393918504520672e-05,6.393918504520672e-05,-0.0
513,London,0.0,-7.185021968666536e-05,7.185021968666536e-05,-0.0
521,qtr,0.0,-8.93746635126813e-05,8.93746635126813e-05,-0.0
520,Tax,0.0,-7.826831066802734e-05,7.826831066802734e-05,-0.0
519,tariffs,0.0,-7.670987085384105e-05,7.670987085384105e-05,-0.0
518,Total,0.0,-7.670987085384105e-05,7.670987085384105e-05,-0.0
517,Obama,0.0,-7.591576013959024e-05,7.591576013959024e-05,-0.0
516,Attributable,0.0,-7.359299122546822e-05,7.359299122546822e-05,-0.0
515,Clinton,0.0,-7.246042433671732e-05,7.246042433671732e-05,-0.0
514,enters,0.0,-7.237595300144581e-05,7.237595300144581e-05,-0.0
512,war,0.0,-7.06492715764495e-05,7.06492715764495e-05,-0.0
503,Files,0.0,-6.441551231970393e-05,6.441551231970393e-05,-0.0
511,Property,0.0,-7.012979163838738e-05,7.012979163838738e-05,-0.0
510,increase,0.0,-6.929665787201733e-05,6.929665787201733e-05,-0.0
509,Acquisition,0.0,-6.718607198936865e-05,6.718607198936865e-05,-0.0
508,leader,0.0,-6.683975203066055e-05,6.683975203066055e-05,-0.0
507,updates,0.0,-6.651778177960618e-05,6.651778177960618e-05,-0.0
506,April,0.0,-6.605789034904106e-05,6.605789034904106e-05,-0.0
505,Kong,0.0,-6.59739521338903e-05,6.59739521338903e-05,-0.0
504,Hong,0.0,-6.493499225776608e-05,6.493499225776608e-05,-0.0
480,Into,0.0,-5.9740192877144805e-05,5.9740192877144805e-05,-0.0
478,FDA,0.0,-5.945793440969695e-05,5.945793440969695e-05,-0.0
427,change,0.0,-7.07987530571044e-05,7.07987530571044e-05,-0.0
477,was,0.0,-5.925765505168529e-05,5.925765505168529e-05,-0.0
454,attack,0.0,0.00010748171329502183,-0.00010748171329502183,0.0
453,y,0.0,0.00010810543754756474,-0.00010810543754756474,0.0
452,quarter,0.0,0.00010927915432372762,-0.00010927915432372762,0.0
451,cuts,0.0,0.00010930491954761807,-0.00010930491954761807,0.0
450,results,0.0,0.00011716042068780767,-0.00011716042068780767,0.0
449,9,0.0,0.00012088894607513348,-0.00012088894607513348,0.0
448,H1,0.0,0.00016366516341702146,-0.00016366516341702146,0.0
447,posts,0.0,0.0001746144958526607,-0.0001746144958526607,0.0
446,Turkey,0.0,0.00039755410874518576,-0.00039755410874518576,0.0
445,hits,0.0,0.0004404019430128684,-0.0004404019430128684,0.0
444,C,0.0,0.00044374932633023324,-0.00044374932633023324,0.0
443,Italy,0.0,0.00044971114006399273,-0.00044971114006399273,0.0
442,March,0.0,0.0004648287805013624,-0.0004648287805013624,0.0
437,Germany,0.0,0.00046363741209670597,-0.00046363741209670597,0.0
435,yen,0.0,-7.479785737983727e-05,7.479785737983727e-05,-0.0
434,rate,0.0,0.0001304451939437354,-0.0001304451939437354,0.0
