,Date,Volatility,PeriodStart,PeriodEnd,DataPointsUsed
306,1991-03-21,1.22875883449,1991-03-14,1991-03-21,6
307,1991-03-22,1.23002833691,1991-03-15,1991-03-22,6
308,1991-03-25,0.575661766637,1991-03-18,1991-03-25,6
309,1991-03-26,0.73604890625,1991-03-19,1991-03-26,6
310,1991-03-27,0.680317266419,1991-03-20,1991-03-27,6
311,1991-03-28,1.18736205929,1991-03-21,1991-03-28,6
312,1991-04-01,1.27353963567,1991-03-22,1991-04-01,6
313,1991-04-02,1.41318792821,1991-03-25,1991-04-02,6
314,1991-04-03,1.48449346402,1991-03-26,1991-04-03,6
315,1991-04-04,1.34410776156,1991-03-27,1991-04-04,6
316,1991-04-05,1.43228006385,1991-03-28,1991-04-05,6
317,1991-04-08,0.960481030274,1991-04-01,1991-04-08,6
318,1991-04-09,0.985402552107,1991-04-02,1991-04-09,6
319,1991-04-10,1.01619131802,1991-04-03,1991-04-10,6
320,1991-04-11,0.960539552618,1991-04-04,1991-04-11,6
321,1991-04-12,0.853528246324,1991-04-05,1991-04-12,6
322,1991-04-15,0.92876233058,1991-04-08,1991-04-15,6
323,1991-04-16,1.01387093676,1991-04-09,1991-04-16,6
324,1991-04-17,0.956705210343,1991-04-10,1991-04-17,6
325,1991-04-18,0.663940102285,1991-04-11,1991-04-18,6
326,1991-04-19,0.652310004556,1991-04-12,1991-04-19,6
327,1991-04-22,0.656834302596,1991-04-15,1991-04-22,6
328,1991-04-23,0.649569377311,1991-04-16,1991-04-23,6
329,1991-04-24,0.602206616665,1991-04-17,1991-04-24,6
330,1991-04-25,0.634544950537,1991-04-18,1991-04-25,6
331,1991-04-26,1.03622896047,1991-04-19,1991-04-26,6
332,1991-04-29,1.08259126375,1991-04-22,1991-04-29,6
333,1991-04-30,1.03351501646,1991-04-23,1991-04-30,6
334,1991-05-01,1.10289798245,1991-04-24,1991-05-01,6
335,1991-05-02,1.34658917453,1991-04-25,1991-05-02,6
336,1991-05-03,1.39132524784,1991-04-26,1991-05-03,6
337,1991-05-06,1.2601368065,1991-04-29,1991-05-06,6
338,1991-05-07,1.14183428076,1991-04-30,1991-05-07,6
339,1991-05-08,1.12179297165,1991-05-01,1991-05-08,6
340,1991-05-09,1.10961344662,1991-05-02,1991-05-09,6
341,1991-05-10,1.12961864369,1991-05-03,1991-05-10,6
342,1991-05-13,0.855379535586,1991-05-06,1991-05-13,6
343,1991-05-14,0.717434198915,1991-05-07,1991-05-14,6
344,1991-05-15,0.71812876028,1991-05-08,1991-05-15,6
345,1991-05-16,0.604657888919,1991-05-09,1991-05-16,6
346,1991-05-17,1.18321355675,1991-05-10,1991-05-17,6
347,1991-05-20,1.42365503935,1991-05-13,1991-05-20,6
348,1991-05-21,1.48534180651,1991-05-14,1991-05-21,6
349,1991-05-22,1.3899304157,1991-05-15,1991-05-22,6
350,1991-05-23,1.30087338619,1991-05-16,1991-05-23,6
351,1991-05-24,1.23252101487,1991-05-17,1991-05-24,6
352,1991-05-28,1.22058840292,1991-05-20,1991-05-28,6
353,1991-05-29,0.649447172993,1991-05-21,1991-05-29,6
354,1991-05-30,0.696363001432,1991-05-22,1991-05-30,6
355,1991-05-31,0.608521419117,1991-05-23,1991-05-31,6
356,1991-06-03,0.565803861438,1991-05-24,1991-06-03,6
357,1991-06-04,0.942816478144,1991-05-28,1991-06-04,6
358,1991-06-05,0.868025215336,1991-05-29,1991-06-05,6
359,1991-06-06,0.827831402285,1991-05-30,1991-06-06,6
360,1991-06-07,0.828730461542,1991-05-31,1991-06-07,6
361,1991-06-10,0.825089718935,1991-06-03,1991-06-10,6
362,1991-06-11,0.852289534377,1991-06-04,1991-06-11,6
363,1991-06-12,0.572540403109,1991-06-05,1991-06-12,6
364,1991-06-13,0.646538642286,1991-06-06,1991-06-13,6
365,1991-06-14,0.701529675469,1991-06-07,1991-06-14,6
366,1991-06-17,0.655539142731,1991-06-10,1991-06-17,6
367,1991-06-18,0.548678994629,1991-06-11,1991-06-18,6
368,1991-06-19,0.568791950846,1991-06-12,1991-06-19,6
369,1991-06-20,0.869729350865,1991-06-13,1991-06-20,6
370,1991-06-21,0.847682999135,1991-06-14,1991-06-21,6
371,1991-06-24,0.92413547648,1991-06-17,1991-06-24,6
372,1991-06-25,1.16079054128,1991-06-18,1991-06-25,6
373,1991-06-26,1.16901284653,1991-06-19,1991-06-26,6
374,1991-06-27,1.14401194941,1991-06-20,1991-06-27,6
375,1991-06-28,1.00522188449,1991-06-21,1991-06-28,6
376,1991-07-01,1.11908828131,1991-06-24,1991-07-01,6
377,1991-07-02,1.12595128375,1991-06-25,1991-07-02,6
378,1991-07-03,0.92464084878,1991-06-26,1991-07-03,6
379,1991-07-05,0.965307515424,1991-06-27,1991-07-05,6
380,1991-07-08,0.987882874361,1991-06-28,1991-07-08,6
381,1991-07-09,0.973836406775,1991-07-01,1991-07-09,6
382,1991-07-10,0.970131520499,1991-07-02,1991-07-10,6
383,1991-07-11,0.860296722344,1991-07-03,1991-07-11,6
384,1991-07-12,0.817159622579,1991-07-05,1991-07-12,6
385,1991-07-15,0.771978510474,1991-07-08,1991-07-15,6
386,1991-07-16,0.703094597845,1991-07-09,1991-07-16,6
387,1991-07-17,0.850391231161,1991-07-10,1991-07-17,6
388,1991-07-18,0.8704927786,1991-07-11,1991-07-18,6
389,1991-07-19,0.873885313317,1991-07-12,1991-07-19,6
390,1991-07-22,0.791573062006,1991-07-15,1991-07-22,6
391,1991-07-23,0.863971167943,1991-07-16,1991-07-23,6
392,1991-07-24,0.871396614474,1991-07-17,1991-07-24,6
393,1991-07-25,0.604070343192,1991-07-18,1991-07-25,6
394,1991-07-26,1.55114776628,1991-07-19,1991-07-26,6
395,1991-07-29,1.59463089253,1991-07-22,1991-07-29,6
396,1991-07-30,1.67319469551,1991-07-23,1991-07-30,6
397,1991-07-31,1.59219869092,1991-07-24,1991-07-31,6
398,1991-08-01,1.59491501398,1991-07-25,1991-08-01,6
399,1991-08-02,1.78891345335,1991-07-26,1991-08-02,6
400,1991-08-05,1.34794493607,1991-07-29,1991-08-05,6
401,1991-08-06,1.4796338474,1991-07-30,1991-08-06,6
402,1991-08-07,1.71248652163,1991-07-31,1991-08-07,6
403,1991-08-08,1.71894278405,1991-08-01,1991-08-08,6
404,1991-08-09,1.79185382756,1991-08-02,1991-08-09,6
405,1991-08-12,1.42014629751,1991-08-05,1991-08-12,6
406,1991-08-13,1.40234805613,1991-08-06,1991-08-13,6
407,1991-08-14,1.2406564274,1991-08-07,1991-08-14,6
408,1991-08-15,0.681633803107,1991-08-08,1991-08-15,6
409,1991-08-16,0.860754127059,1991-08-09,1991-08-16,6
410,1991-08-19,1.16080643949,1991-08-12,1991-08-19,6
411,1991-08-20,1.17176786304,1991-08-13,1991-08-20,6
412,1991-08-21,1.36080760981,1991-08-14,1991-08-21,6
413,1991-08-22,1.13451052093,1991-08-15,1991-08-22,6
414,1991-08-23,0.893510535798,1991-08-16,1991-08-23,6
415,1991-08-26,1.27791237138,1991-08-19,1991-08-26,6
416,1991-08-27,1.17739928737,1991-08-20,1991-08-27,6
417,1991-08-28,1.19187925169,1991-08-21,1991-08-28,6
418,1991-08-29,1.07647173965,1991-08-22,1991-08-29,6
419,1991-08-30,1.07747664649,1991-08-23,1991-08-30,6
420,1991-09-03,1.10258035341,1991-08-26,1991-09-03,6
421,1991-09-04,1.03106576702,1991-08-27,1991-09-04,6
422,1991-09-05,1.02692856091,1991-08-28,1991-09-05,6
423,1991-09-06,1.51043389776,1991-08-29,1991-09-06,6
424,1991-09-09,1.41639517039,1991-08-30,1991-09-09,6
425,1991-09-10,1.5597526115,1991-09-03,1991-09-10,6
426,1991-09-11,1.45272895612,1991-09-04,1991-09-11,6
427,1991-09-12,1.45960216203,1991-09-05,1991-09-12,6
428,1991-09-13,1.59222805846,1991-09-06,1991-09-13,6
429,1991-09-16,0.826257843874,1991-09-09,1991-09-16,6
430,1991-09-17,0.991934724313,1991-09-10,1991-09-17,6
431,1991-09-18,0.890100125578,1991-09-11,1991-09-18,6
432,1991-09-19,0.86746563297,1991-09-12,1991-09-19,6
